Proj:64  [2018-04-17 18:53:15,823] INFO  Town:main:59   Message: Get res is done: ru           
Proj:66  [2018-04-17 18:53:15,825] INFO  Town:main:65   Message: Encoding is done              
Proj:67  [2018-04-17 18:53:15,826] INFO  Town:main:17   Message: ended                         
Proj:0   [2018-04-17 18:53:53,800] INFO  Town:main:9                Message: started                       
Proj:19  [2018-04-17 18:53:53,819] INFO  Town:main:11               Message: Submited two arguments        
Proj:21  [2018-04-17 18:53:53,821] INFO  Town:main:53               Message: Get time is done: 2           
Proj:21  [2018-04-17 18:53:53,821] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:22  [2018-04-17 18:53:53,822] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:65  [2018-04-17 18:53:53,865] INFO  Town:main:59               Message: Get res is done: ru           
Proj:67  [2018-04-17 18:53:53,867] INFO  Town:main:65               Message: Encoding is done              
Proj:68  [2018-04-17 18:53:53,868] INFO  Town:main:17               Message: ended                         
Proj:1   [2018-04-17 18:54:33,960] INFO  Town:main:9                Message: started                       
Proj:19  [2018-04-17 18:54:33,978] INFO  Town:main:11               Message: Submited two arguments        
Proj:23  [2018-04-17 18:54:33,982] INFO  Town:main:53               Message: Get time is done: 2           
Proj:25  [2018-04-17 18:54:33,984] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:25  [2018-04-17 18:54:33,984] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:80  [2018-04-17 18:54:34,039] INFO  Town:main:59               Message: Get res is done: ru           
Proj:87  [2018-04-17 18:54:34,046] INFO  Town:main:65               Message: Encoding is done              
Proj:89  [2018-04-17 18:54:34,048] INFO  Town:main:17               Message: ended                         
Proj:1   [2018-04-17 18:54:45,479] INFO  Town:main:9                Message: started                       
Proj:18  [2018-04-17 18:54:45,496] INFO  Town:main:11               Message: Submited two arguments        
Proj:19  [2018-04-17 18:54:45,497] INFO  Town:main:53               Message: Get time is done: 2           
Proj:20  [2018-04-17 18:54:45,498] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:21  [2018-04-17 18:54:45,499] INFO  Town:main:31               Message: Get system locale is done: ru 
